ID_Usuario;DNI_Usuario;Edad;Género_sucio;Género;Ubicación_sucio;Ubicación;Tipo_Viajero_sucio;Tipo_Viajero;ID_Reserva;Fecha_Reserva;Fecha_Viaje;Antelacion_Reserva_sucio;Antelacion_Reserva;Duracion_Viaje_sucio;Numero_Personas;Tipo_Paquete_sucio;Tipo_Paquete;Costo_Total;Metodo_Pago;Destino_sucio;Destino;Tipo_Alojamiento_sucio;Clase_Vuelo;Actividades_Reservadas_sucio;Actividades_Reser_sucio2;Actividades_Reservadas;Numero_Noches_Estancia_sucio;Numero_Noches_Estancia;Promocion_Aplicada_sucio;Promocion_Aplicada;Fuente_Reserva;Estado_Reserva;Mes_Reserva_sucio;Mes_Reserva;Mes_Viaje_sucio;Mes_Viaje;Estacionalidad;Cancelacion_Reserva_sucio;Cancelacion_reserva;Calificacion_Usuario;Comentarios;Rango_Edad;Gasto_persona;Gasto_duracion
U0001;90523220G;37;Female;Femenino;Mexico;Méjico;Tusirta;Turista;R00001;09/04/2024;20/11/2024;356;225;2;3;Solo vuelo;Vuelo;1.670,40;Tarjeta de crédito;Tokyo;Tokio;;Económica;;;;3;1;VERDADERO;Verdadero;Sitio web;Confirmada;5;4;12;11;Temporada baja;VERDADERO;Verdadero;1;No me gustó el servicio;Adultos;556,80;835,20
U0002;63579929V;39;Female;Femenino;USA;EEUU;Turista;Turista;R00002;09/12/2024;20/12/2024;323;11;4;3;Solo vuelo;Vuelo;2.452,30;Tarjeta de crédito;New York;Nueva York;;Primera clase;;;;4;3;VERDADERO;Verdadero;Agente de viajes;Cancelada;11;12;1;12;Temporada alta;VERDADERO;Verdadero;3;No me gustó el servicio;Adultos;817,43;613,08
U0003;13157986P;29;Other;Otro;Australia;Australia;Tusirta;Turista;R00003;02/04/2024;06/05/2024;308;34;3;2;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;11.078,60;Tarjeta de crédito;Barcelona;Barcelona;Airbnb;Ejecutiva;Excursión en bote;Excursión en bote;Excursión en bote;3;2;VERDADERO;Verdadero;Sitio web;Cancelada;10;4;12;5;Temporada baja;VERDADERO;Verdadero;1;Problemas con la reserva;Jovenes Adultos;5.539,30;3.692,87
U0004;84887360H;31;Female;Femenino;UK;Reino unido;Tusirta;Turista;R00004;03/01/2024;15/12/2024;56;347;14;2;Vuelo + Hotel;Vuelo + Hotel;12.432,90;PayPal;New York;Nueva York;Hotel;Económica;;;;9;13;VERDADERO;Verdadero;Agente de viajes;Cancelada;5;1;1;12;Temporada baja;VERDADERO;Verdadero;4;;Adultos;6.216,45;888,06
U0005;51190861Z;35;Female;Femenino;Germany;Alemania;Turista;Turista;R00005;13/06/2024;27/08/2024;64;75;4;1;Solo vuelo;Vuelo;19.026,20;Transferencia bancaria;London;Londres;;Económica;;;;5;3;VERDADERO;Verdadero;App móvil;Confirmada;5;6;6;8;Temporada alta;VERDADERO;Verdadero;2;No me gustó el servicio;Adultos;19.026,20;4.756,55
U0006;40949188B;35;Other;Otro;India;India;Tusirta;Turista;R00006;06/05/2024;14/09/2024;1;131;14;2;Solo vuelo;Vuelo;4.167,80;Transferencia bancaria;Cancun;Cancun;;Económica;;;;4;13;VERDADERO;Verdadero;Sitio web;Cancelada;1;5;3;9;Temporada baja;FALSO;Falso;1;Problemas con la reserva;Adultos;2.083,90;297,70
U0007;54142760R;46;Other;Otro;UK;Reino unido;Negocios;Negocios;R00007;19/04/2024;15/06/2024;31;57;14;3;Vuelo + Hotel;Vuelo + Hotel;17.344,10;Tarjeta de crédito;Rome;Roma;Hotel;Primera clase;;;;1;13;FALSO;Falso;Sitio web;Cancelada;11;4;2;6;Temporada alta;VERDADERO;Verdadero;2;;Mediana Edad;5.781,37;1.238,86
U0008;83574924P;36;Male;Masculino;UK;Reino unido;Negocios;Negocios;R00008;22/06/2024;21/08/2024;206;60;4;3;Vuelo + Hotel;Vuelo + Hotel;5.866,80;PayPal;London;Londres;Airbnb;Ejecutiva;;;;5;3;FALSO;Falso;Sitio web;Confirmada;3;6;6;8;Temporada alta;FALSO;Falso;4;Todo bien;Adultos;1.955,60;1.466,70
U0009;79251871N;26;Female;Femenino;India;India;Turista;Turista;R00009;05/07/2024;07/08/2024;198;33;14;1;Vuelo + Hotel;Vuelo + Hotel;6.976,20;PayPal;Rome;Roma;Resort;Económica;;;;3;13;VERDADERO;Verdadero;Sitio web;Pendiente;12;7;6;8;Temporada alta;FALSO;Falso;1;Problemas con la reserva;Jovenes Adultos;6.976,20;498,30
U0010;64773268R;48;Other;Otro;USA;EEUU;Tusirta;Turista;R00010;28/07/2024;01/09/2024;319;35;12;4;Vuelo + Hotel;Vuelo + Hotel;16.596,10;PayPal;New York;Nueva York;Airbnb;Ejecutiva;;;;3;11;FALSO;Falso;App móvil;Confirmada;1;7;6;9;Temporada baja;FALSO;Falso;2;No me gustó el servicio;Mediana Edad;4.149,03;1.383,01
